"Уникальный код улицы";"Наименование улицы для поиска, сортировки";"Действующее на данный момент наименование улицы для документов";"Действующее наименование для документов, приведенное к написанию наименования по ОМК УМ, но с сокращениями географических терминов";"Короткое наименование улицы МосгорБТИ";"Наименование  улицы по ОМК УМ";"Код состояния наименования";"Признак действующего наименования (1 — да, 0 — нет)";"Территориальная принадлежность улицы (коды районов)";"Примечание";"Код документа, на основании которого произведен ввод наименования";"Номер документа, на основании которого произведен ввод наименования";"Дата документа, на основании которого произведен ввод наименования";"Стандартизованная дата документа, на основании которого произведен ввод наименования";"Код «родителей» (ретроспектива)";"Код «потомков» (перспектива)";"Код улицы как физического объекта";"Дата ввода в Базу данных";"Основное наименование (без типа топонима)";"Код типа топонима";"Признак принадлежности к ОМК УМ";"Признак удаления";"Состояние наименования  улицы";"Документ, на основании которого произведен ввод наименования";"Наименование типа топонима";"Состояние подписи";
"3755";"МКАД 108 км";"";"МКАД, 108-й км";"МКАД 108 км";"МКАД, 108-й километр";"1";"1";"311";"";"9";"";"";"";"";"";"63755";"05.04.2001 00:00:00";"МКАД, 108-й км";"21";"1";"0";"действующее наи";"нет данных";"МКАД";"Запись не подписана";
"4495";"Ольховский туп.";"Ольховский туп.";"Ольховский туп.";"Ольховский туп.";"Ольховский тупик";"1";"1";"105";"";"3";"";"1977 г.";"01.01.1977 00:00:00";"";"";"19115";"26.12.1995 00:00:00";"Ольховский";"7";"1";"0";"действующее наи";"архивные данные";"туп.";"Запись не подписана";
"4505";"Орехово-3 н.п.";"Орехово-3 н.п.";"н.п. Орехово-3";"Орехово-3 н.п.";"населённый пункт Орехово-3";"5";"1";"";"";"9";"";"";"";"";"";"64505";"";"Орехово-3";"27";"0";"0";"существующее, н";"нет данных";"н.п.";"Запись не подписана";
"4511";"Огородная ул.";"Огородная ул.";"Огородная ул.";"Огородная ул.";"";"9";"0";"";"";"9";"";"";"";"";"";"64511";"";"Огородная";"1";"0";"1";"упраздненное на";"нет данных";"ул.";"Запись не подписана";
"4540";"Останкинский туп.";"Останкинский туп.";"Останкинский туп.";"Останкинский туп.";"";"9";"0";"";"";"9";"";"";"";"";"";"64540";"";"Останкинский";"7";"0";"1";"упраздненное на";"нет данных";"туп.";"Запись не подписана";
"4558";"Октябрьская ж.д., Московское, 612 км";"";"Октябрьская ж.д., Московское, 612 км";"Октябр. ж.д.,Моск.,612 км";"Октябрьская ж.д., Московское, 612 км";"1";"1";"1005,1008";"";"5";"";"";"";"";"";"64558";"22.07.2008 00:00:00";"Октябрьская ж.д., Московское, 612 км";"33";"0";"0";"действующее наи";"заключение Глав";"прочие";"Запись не подписана";
"4626";"Павлова Академика ул.";"Павлова Академика ул.";"ул. Академика Павлова";"Павлова Академика ул.";"улица Академика Павлова";"1";"1";"707";"";"3";"";"25.12.1961";"25.12.1961 00:00:00";"";"";"19640";"01.11.1980 00:00:00";"Академика Павлова";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4627";"Павловская ул.";"Павловская ул.";"Павловская ул.";"Павловская ул.";"Павловская улица";"1";"1";"507";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"19650";"01.11.1980 00:00:00";"Павловская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4640";"Палочный пер.";"Палочный пер.";"Палочный пер.";"Палочный пер.";"Палочный переулок";"1";"1";"331";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"19730";"31.01.1995 00:00:00";"Палочный";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"4641";"Улофа Пальме ул.";"Улофа Пальме ул.";"ул. Улофа Пальме";"Улофа Пальме ул.";"улица Улофа Пальме";"1";"1";"725";"";"3";"";"25.06.1987";"25.06.1987 00:00:00";"";"";"19735";"06.08.1992 00:00:00";"Улофа Пальме";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
