"Уникальный код улицы";"Наименование улицы для поиска, сортировки";"Действующее на данный момент наименование улицы для документов";"Действующее наименование для документов, приведенное к написанию наименования по ОМК УМ, но с сокращениями географических терминов";"Короткое наименование улицы МосгорБТИ";"Наименование  улицы по ОМК УМ";"Код состояния наименования";"Признак действующего наименования (1 — да, 0 — нет)";"Территориальная принадлежность улицы (коды районов)";"Примечание";"Код документа, на основании которого произведен ввод наименования";"Номер документа, на основании которого произведен ввод наименования";"Дата документа, на основании которого произведен ввод наименования";"Стандартизованная дата документа, на основании которого произведен ввод наименования";"Код «родителей» (ретроспектива)";"Код «потомков» (перспектива)";"Код улицы как физического объекта";"Дата ввода в Базу данных";"Основное наименование (без типа топонима)";"Код типа топонима";"Признак принадлежности к ОМК УМ";"Признак удаления";"Состояние наименования  улицы";"Документ, на основании которого произведен ввод наименования";"Наименование типа топонима";"Состояние подписи";
"1443";"Дубнинская ул.";"Дубнинская ул.";"Дубнинская ул.";"Дубнинская ул.";"Дубнинская улица";"1";"1";"905,911,915";"";"3";"";"03.12.1966";"03.12.1966 00:00:00";"";"";"6770";"01.11.1980 00:00:00";"Дубнинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1457";"Дунаевского ул.";"Дунаевского ул.";"ул. Дунаевского";"Дунаевского ул.";"улица Дунаевского";"1";"1";"703";"";"3";"";"11.08.1962";"11.08.1962 00:00:00";"";"";"6870";"01.11.1980 00:00:00";"Дунаевского";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1459";"Дюссельдорфский парк";"";"Дюссельдорфский парк";"Дюссельдорфский парк";"Дюссельдорфский парк";"1";"1";"411";"";"1";"№ 17-ПП";"20.01.2009";"20.01.2009 00:00:00";"";"";"61459";"27.01.2009 00:00:00";"Дюссельдорфский";"19";"1";"0";"действующее наи";"Пост-ие Прав-ва";"парк";"Запись не подписана";
"1472";"Димитрова ул.";"Димитрова ул.";"ул. Димитрова";"Димитрова ул.";"улица Димитрова";"2";"0";"117";"";"3";"";"15.06.1957";"15.06.1957 00:00:00";"";"7825";"6150";"28.03.1995 00:00:00";"Димитрова";"1";"0";"0";"прежнее наимено";"архивные данные";"ул.";"Запись не подписана";
"1486";"Деповский пр.";"Деповский пр.";"Деповский пр.";"Деповский пр.";"Деповский проезд";"5";"1";"";"";"9";"";"";"";"";"";"61486";"";"Деповский";"3";"0";"0";"существующее, н";"нет данных";"пр.";"Запись не подписана";
"1516";"Дворцовый 2-й пр.";"Дворцовый 2-й пр.";"Дворцовый 2-й пр.";"Дворцовый 2-й пр.";"";"9";"0";"";"";"9";"";"";"";"";"";"61516";"";"Дворцовый 2-й";"3";"0";"1";"упраздненное на";"нет данных";"пр.";"Запись не подписана";
"1531";"Дубровский 5-й пер.";"Дубровский 5-й пер.";"Дубровский 5-й пер.";"Дубровский 5-й пер.";"";"9";"0";"";"";"9";"";"";"";"";"";"61531";"";"Дубровский 5-й";"2";"0";"1";"упраздненное на";"нет данных";"пер.";"Запись не подписана";
"1534";"Дыховский туп.";"Дыховский туп.";"Дыховский туп.";"Дыховский туп.";"";"9";"0";"";"";"9";"";"";"";"";"";"61534";"";"Дыховский";"7";"0";"1";"упраздненное на";"нет данных";"туп.";"Запись не подписана";
"1588";"Елагинский просп.";"Елагинский просп.";"Елагинский просп.";"Елагинский просп.";"Елагинский проспект";"1";"1";"313";"";"9";"";"";"";"";"";"7120";"31.01.1995 00:00:00";"Елагинский";"10";"1";"0";"действующее наи";"нет данных";"просп.";"Запись не подписана";
"1609";"Екатерининская Б. ул.";"Екатерининская Б. ул.";"Большая Екатерининская ул.";"Екатерининская Б. ул.";"Большая Екатерининская улица";"1";"1";"107";"";"9";"";"";"";"";"";"7105";"18.10.2000 00:00:00";"Большая Екатерининская";"1";"1";"0";"действующее наи";"нет данных";"ул.";"Запись не подписана";
"1649";"Железногорский пр.";"Железногорский пр.";"Железногорский пр.";"Железногорский пр.";"Железногорский проезд";"1";"1";"621";"";"3";"";"06.02.1986";"06.02.1986 00:00:00";"";"";"7333";"11.03.1986 00:00:00";"Железногорский";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"1652";"Железнодорожная ул. (Шереметьево)";"";"Железнодорожная ул.";"Железнодорожн.ул.(Шерем.)";"Железнодорожная улица";"1";"1";"922";"";"9";"";"";"";"";"";"7339";"01.11.1980 00:00:00";"Железнодорожная";"1";"1";"0";"действующее наи";"нет данных";"ул.";"Запись не подписана";
"1661";"Бориса Жигуленкова ул.";"Бориса Жигуленкова ул.";"ул. Бориса Жигулёнкова";"Бориса Жигуленкова ул.";"улица Бориса Жигулёнкова";"1";"1";"327";"";"3";"";"03.12.1966";"03.12.1966 00:00:00";"";"";"7410";"01.11.1980 00:00:00";"Бориса Жигулёнкова";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1668";"Жуковского ул.";"Жуковского ул.";"ул. Жуковского";"Жуковского ул.";"улица Жуковского";"1";"1";"101";"";"3";"";"20.03.1936";"20.03.1936 00:00:00";"";"";"7490";"01.11.1980 00:00:00";"Жуковского";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1669";"Жулебинская ул.";"Жулебинская ул.";"Жулебинская ул.";"Жулебинская ул.";"Жулебинская улица";"1";"1";"401";"";"3";"";"06.02.1986";"06.02.1986 00:00:00";"3206";"";"7495";"19.06.1986 00:00:00";"Жулебинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1672";"Журавлев Верхн. пер.";"Журавлев Верхн. пер.";"Верхний Журавлёв пер.";"Журавлев Верхн. пер.";"Верхний Журавлёв переулок";"1";"1";"327";"";"3";"";"24.10.1929";"24.10.1929 00:00:00";"";"";"7510";"01.11.1980 00:00:00";"Верхний Журавлёв";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"1750";"Зарайская ул.";"Зарайская ул.";"Зарайская ул.";"Зарайская ул.";"Зарайская улица";"1";"1";"419";"";"3";"";"20.05.1964";"20.05.1964 00:00:00";"";"";"7690";"01.11.1980 00:00:00";"Зарайская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1751";"Заревый пр.";"Заревый пр.";"Заревый пр.";"Заревый пр.";"Заревый проезд";"1";"1";"227";"";"3";"";"13.04.1967";"13.04.1967 00:00:00";"";"";"7700";"01.11.1980 00:00:00";"Заревый";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"1757";"Затонная ул.";"Затонная ул.";"Затонная ул.";"Затонная ул.";"Затонная улица";"1";"1";"519";"";"3";"";"14.03.1964";"14.03.1964 00:00:00";"";"";"7750";"01.11.1980 00:00:00";"Затонная";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1784";"Зеленоградская ул.";"Зеленоградская ул.";"Зеленоградская ул.";"Зеленоградская ул.";"Зеленоградская улица";"1";"1";"913,929";"";"3";"";"24.08.1966";"24.08.1966 00:00:00";"";"";"8010";"01.11.1980 00:00:00";"Зеленоградская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1801";"Златоустовская ул.";"Златоустовская ул.";"Златоустовская ул.";"Златоустовская ул.";"Златоустовская улица";"1";"1";"315";"";"3";"";"06.02.1986";"06.02.1986 00:00:00";"963";"";"8145";"11.03.1986 00:00:00";"Златоустовская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1876";"Захарково н.п.";"Захарково н.п.";"н.п. Захарково";"Захарково н.п.";"";"9";"0";"";"";"9";"";"";"";"";"";"61876";"";"Захарково";"27";"0";"1";"упраздненное на";"нет данных";"н.п.";"Запись не подписана";
"1883";"Звенигородская 3-я ул.";"Звенигородская 3-я ул.";"Звенигородская 3-я ул.";"Звенигородская 3-я ул.";"";"9";"0";"109";"";"9";"";"";"";"";"";"61883";"";"Звенигородская 3-я";"1";"0";"1";"упраздненное на";"нет данных";"ул.";"Запись не подписана";
"1886";"Звенигородское шоссе (Кунцево)";"Звенигородское шоссе Кунц";"Звенигородское шоссе Кунц";"Звенигородское ш.(Кун.)";"";"9";"0";"";"";"9";"";"";"";"";"";"61886";"";"Звенигородское шоссе Кунц";"6";"0";"1";"упраздненное на";"нет данных";"шоссе";"Запись не подписана";
"1897";"Зябликово н.п.";"Зябликово н.п.";"н.п. Зябликово";"Зябликово н.п.";"";"9";"0";"";"";"9";"";"";"";"";"";"61897";"";"Зябликово";"27";"0";"1";"упраздненное на";"нет данных";"н.п.";"Запись не подписана";
"3872";"МЖД Рижское 8-й км";"";"МЖД, Рижское, 8-й км";"МЖД Рижское 8-й км";"МЖД, Рижское, 8-й километр";"5";"1";"901,919";"";"4";"";"";"";"";"";"63872";"07.07.2003 00:00:00";"МЖД, Рижское, 8-й км";"33";"0";"0";"существующее, н";"заявка МосгорБТ";"прочие";"Запись не подписана";
"3894";"МЖД Киевское 4-й км";"";"МЖД, Киевское, 4-й км";"МЖД Киевское 4-й км";"МЖД, Киевское, 4-й километр";"1";"1";"703";"";"5";"";"";"";"";"";"63894";"01.02.2006 00:00:00";"МЖД, Киевское, 4-й км";"33";"0";"0";"действующее наи";"заключение Глав";"прочие";"Запись не подписана";
"3902";"Михайловка ул.";"";"Зеленоград, ул. Михайловка";"Михайловка ул.";"улица Михайловка";"1";"1";"1005";"";"1";"№ 320-ПП";"16.05.2006";"16.05.2006 00:00:00";"5318";"";"65318";"01.06.2006 00:00:00";"Михайловка";"1";"1";"0";"действующее наи";"Пост-ие Прав-ва";"ул.";"Запись не подписана";
"3938";"Нагатинская ул.";"Нагатинская ул.";"Нагатинская ул.";"Нагатинская ул.";"Нагатинская улица";"1";"1";"517";"";"3";"";"14.03.1964";"14.03.1964 00:00:00";"";"";"16790";"01.11.1980 00:00:00";"Нагатинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4016";"Никитские Ворота пл.";"Никитские Ворота пл.";"пл. Никитские Ворота";"Никитские Ворота пл.";"площадь Никитские Ворота";"1";"1";"109";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"17305";"01.11.1980 00:00:00";"Никитские Ворота";"4";"1";"0";"действующее наи";"архивные данные";"пл.";"Запись не подписана";
"4030";"Николоямский пер.";"Николоямский пер.";"Николоямский пер.";"Николоямский пер.";"Николоямский переулок";"1";"1";"111";"";"3";"";"1986 г.";"01.01.1986 00:00:00";"";"";"17420";"01.11.1980 00:00:00";"Николоямский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"1905";"Защитников Москвы просп.";"Защитников Москвы просп.";"просп. Защитников Москвы";"Защитников Москвы просп.";"проспект Защитников Москвы";"1";"1";"413";"";"7";"№ 915-РП";"29.11.2011";"29.11.2011 00:00:00";"";"";"7795";"28.10.2011 00:00:00";"Защитников Москвы";"10";"1";"0";"действующее наи";"Расп-ние Прав-в";"просп.";"Запись не подписана";
"1951";"Ибрагимова ул.";"Ибрагимова ул.";"ул. Ибрагимова";"Ибрагимова ул.";"улица Ибрагимова";"1";"1";"327";"";"3";"";"05.11.1957";"05.11.1957 00:00:00";"";"";"8350";"01.11.1980 00:00:00";"Ибрагимова";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1976";"Измайловский пр.";"Измайловский пр.";"Измайловский пр.";"Измайловский пр.";"Измайловский проезд";"1";"1";"313";"";"3";"";"18.11.1949";"18.11.1949 00:00:00";"";"";"8590";"01.11.1980 00:00:00";"Измайловский";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"1980";"Измайловского Зверинца 1-я ул.";"Измайловского зверинца 1-я ул.";"1-я ул. Измайловского Зверинца";"Измайл.Зверинца 1-я ул.";"1-я улица Измайловского Зверинца";"1";"1";"313";"";"3";"";"19.06.1929";"19.06.1929 00:00:00";"";"";"8610";"06.08.1992 00:00:00";"1-я Измайловского Зверинца";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1982";"Измайловского Зверинца 2-я ул.";"Измайловского зверинца 2-я ул.";"2-я ул. Измайловского Зверинца";"Измайл.Зверинца 2-я ул.";"2-я улица Измайловского Зверинца";"1";"1";"313";"";"3";"";"19.06.1929";"19.06.1929 00:00:00";"";"";"8615";"01.11.1980 00:00:00";"2-я Измайловского Зверинца";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1992";"Ильинка ул.";"Ильинка ул.";"ул. Ильинка";"Ильинка ул.";"улица Ильинка";"1";"1";"113";"";"1";"№ 968-ПП";"25.10.1994";"25.10.1994 00:00:00";"2568";"";"12670";"05.11.1990 00:00:00";"Ильинка";"1";"1";"0";"действующее наи";"Пост-ие Прав-ва";"ул.";"Запись не подписана";
"2002";"Институтский 1-й пр.";"Институтский 1-й пр.";"1-й Институтский пр.";"Институтский 1-й пр.";"1-й Институтский проезд";"1";"1";"419";"";"3";"";"26.08.1960";"26.08.1960 00:00:00";"";"";"8820";"13.02.1990 00:00:00";"1-й Институтский";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"2009";"Ирининский 2-й пер.";"Ирининский 2-й пер.";"2-й Ирининский пер.";"Ирининский 2-й пер.";"2-й Ирининский переулок";"1";"1";"101";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"8890";"01.11.1980 00:00:00";"2-й Ирининский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2038";"Институтская ул.";"Институтская ул.";"Институтская ул.";"Институтская ул.";"";"9";"0";"";"";"9";"";"";"";"";"";"62038";"";"Институтская";"1";"0";"1";"упраздненное на";"нет данных";"ул.";"Запись не подписана";
"2112";"Кабельная 2-я ул.";"Кабельная 2-я ул.";"2-я Кабельная ул.";"Кабельная 2-я ул.";"2-я Кабельная улица";"1";"1";"407";"";"3";"";"09.03.1928";"09.03.1928 00:00:00";"";"";"8980";"01.11.1980 00:00:00";"2-я Кабельная";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2115";"Кабельная 5-я ул.";"Кабельная 5-я ул.";"5-я Кабельная ул.";"Кабельная 5-я ул.";"5-я Кабельная улица";"1";"1";"407";"";"3";"";"08.05.1950";"08.05.1950 00:00:00";"";"";"9010";"01.11.1980 00:00:00";"5-я Кабельная";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2116";"Кабельный 1-й пр.";"Кабельный 1-й пр.";"1-й Кабельный пр.";"Кабельный 1-й пр.";"1-й Кабельный проезд";"1";"1";"407";"";"3";"";"09.03.1928";"09.03.1928 00:00:00";"";"";"9020";"01.11.1980 00:00:00";"1-й Кабельный";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"2131";"Казачий 1-й пер.";"Казачий 1-й пер.";"1-й Казачий пер.";"Казачий 1-й пер.";"1-й Казачий переулок";"1";"1";"117";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"9150";"01.11.1980 00:00:00";"1-й Казачий";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2171";"Капранова пер.";"Капранова пер.";"пер. Капранова";"Капранова пер.";"переулок Капранова";"1";"1";"109";"";"3";"";"14.11.1931";"14.11.1931 00:00:00";"";"";"9470";"01.11.1980 00:00:00";"Капранова";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2177";"Карачаровская 3-я ул.";"Карачаровская 3-я ул.";"3-я Карачаровская ул.";"Карачаровская 3-я ул.";"3-я Карачаровская улица";"1";"1";"415";"";"3";"";"08.05.1950";"08.05.1950 00:00:00";"";"";"9550";"01.11.1980 00:00:00";"3-я Карачаровская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2189";"Каретный Ряд ул.";"Каретный Ряд ул.";"ул. Каретный Ряд";"Каретный Ряд ул.";"улица Каретный Ряд";"1";"1";"113";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"9660";"01.11.1980 00:00:00";"Каретный Ряд";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2222";"Мартина Лютера Кинга пл.";"Мартина Лютера Кинга пл.";"пл. Мартина Лютера Кинга";"Мартина Лютера Кинга пл.";"площадь Мартина Лютера Кинга";"1";"1";"607";"";"3";"";"05.11.1990";"05.11.1990 00:00:00";"";"";"10000";"05.11.1990 00:00:00";"Мартина Лютера Кинга";"4";"1";"0";"действующее наи";"архивные данные";"пл.";"Запись не подписана";
"2225";"Кировоградская ул.";"Кировоградская ул.";"Кировоградская ул.";"Кировоградская ул.";"Кировоградская улица";"1";"1";"533,535,537";"";"3";"";"03.09.1968";"03.09.1968 00:00:00";"";"";"10040";"01.11.1980 00:00:00";"Кировоградская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2230";"Кирпичные Выемки ул.";"Кирпичные Выемки ул.";"ул. Кирпичные Выемки";"Кирпичные Выемки ул.";"улица Кирпичные Выемки";"1";"1";"537";"";"3";"";"26.08.1960";"26.08.1960 00:00:00";"";"";"10060";"31.01.1995 00:00:00";"Кирпичные Выемки";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2239";"Кисловский Нижн. пер.";"Кисловский Нижн. пер.";"Нижний Кисловский пер.";"Кисловский Нижн. пер.";"Нижний Кисловский переулок";"1";"1";"102,109";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"10150";"01.11.1980 00:00:00";"Нижний Кисловский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2240";"Кисловский Ср. пер.";"Кисловский Ср. пер.";"Средний Кисловский пер.";"Кисловский Ср. пер.";"Средний Кисловский переулок";"1";"1";"109";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"10160";"01.11.1980 00:00:00";"Средний Кисловский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2243";"Климашкина ул.";"Климашкина ул.";"ул. Климашкина";"Климашкина ул.";"улица Климашкина";"1";"1";"109";"";"3";"";"06.05.1965";"06.05.1965 00:00:00";"";"";"10200";"01.11.1980 00:00:00";"Климашкина";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2249";"Княжекозловский пер.";"Княжекозловский пер.";"Княжекозловский пер.";"Княжекозловский пер.";"Княжекозловский переулок";"1";"1";"407";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"10270";"01.11.1980 00:00:00";"Княжекозловский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2257";"Кожевническая ул.";"Кожевническая ул.";"Кожевническая ул.";"Кожевническая ул.";"Кожевническая улица";"1";"1";"103,507";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"10350";"01.11.1980 00:00:00";"Кожевническая";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2276";"Козицкий пер.";"Козицкий пер.";"Козицкий пер.";"Козицкий пер.";"Козицкий переулок";"1";"1";"113";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"10500";"01.11.1980 00:00:00";"Козицкий";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"4054";"Новоалексеевская ул.";"Новоалексеевская ул.";"Новоалексеевская ул.";"Новоалексеевская ул.";"Новоалексеевская улица";"1";"1";"201";"";"3";"";"07.06.1922";"07.06.1922 00:00:00";"";"";"17610";"01.11.1980 00:00:00";"Новоалексеевская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4067";"Новодевичьего Монастыря пл.";"Новодевичьего Монастыря пл.";"пл. Новодевичьего Монастыря";"Новодевич.Монастыря пл.";"площадь Новодевичьего Монастыря";"1";"1";"115";"";"3";"";"1948 г.";"01.01.1948 00:00:00";"";"";"17760";"01.11.1980 00:00:00";"Новодевичьего Монастыря";"4";"1";"0";"действующее наи";"архивные данные";"пл.";"Запись не подписана";
"4080";"Новокузьминская 1-я ул.";"Новокузьминская 1-я ул.";"1-я Новокузьминская ул.";"Новокузьминская 1-я ул.";"1-я Новокузьминская улица";"1";"1";"419";"";"3";"";"20.05.1964";"20.05.1964 00:00:00";"";"";"17890";"01.11.1980 00:00:00";"1-я Новокузьминская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4085";"Новолинейная ул.";"Новолинейная ул.";"Новолинейная ул.";"Новолинейная ул.";"Новолинейная улица";"9";"0";"";"";"1";"№ 260-ПП";"06.04.1999";"06.04.1999 00:00:00";"";"";"64260";"";"Новолинейная";"1";"0";"0";"упраздненное на";"Пост-ие Прав-ва";"ул.";"Запись не подписана";
"4096";"Новоостанкинская 2-я ул.";"Новоостанкинская 2-я ул.";"2-я Новоостанкинская ул.";"Новоостанкинская 2-я ул.";"2-я Новоостанкинская улица";"1";"1";"219";"";"3";"";"18.01.1928";"18.01.1928 00:00:00";"";"";"18070";"06.08.1992 00:00:00";"2-я Новоостанкинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4102";"Новопесковский М. пер.";"Новопесковский М. пер.";"Малый Новопесковский пер.";"Новопесковский М. пер.";"Малый Новопесковский переулок";"1";"1";"102";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"18170";"01.11.1980 00:00:00";"Малый Новопесковский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2287";"Колобовский 3-й пер.";"Колобовский 3-й пер.";"3-й Колобовский пер.";"Колобовский 3-й пер.";"3-й Колобовский переулок";"1";"1";"113";"";"3";"";"07.06.1922";"07.06.1922 00:00:00";"";"";"10610";"01.11.1980 00:00:00";"3-й Колобовский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2296";"Колпинская ул.";"Колпинская ул.";"Колпинская ул.";"Колпинская ул.";"Колпинская улица";"1";"1";"922";"";"3";"";"06.02.1986";"06.02.1986 00:00:00";"";"";"10695";"11.03.1986 00:00:00";"Колпинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2309";"Коммунистический пер.";"Коммунистический пер.";"Коммунистический пер.";"Коммунистический пер.";"Коммунистический переулок";"1";"1";"111";"";"3";"";"12.08.1924";"12.08.1924 00:00:00";"";"";"10820";"01.11.1980 00:00:00";"Коммунистический";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2316";"Кондратьевский Б. пер.";"Кондратьевский Б. пер.";"Большой Кондратьевский пер.";"Кондратьевский Б. пер.";"Большой Кондратьевский переулок";"1";"1";"109";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"10900";"01.11.1980 00:00:00";"Большой Кондратьевский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2323";"Краснохолмский Малый мост";"";"Малый Краснохолмский мост";"Краснохолмский Малый мост";"Малый Краснохолмский мост";"1";"1";"103";"";"9";"";"";"";"";"";"93025";"26.03.2009 00:00:00";"Краснохолмский Малый";"11";"1";"0";"действующее наи";"нет данных";"мост";"Запись не подписана";
"2326";"Конюшковская ул.";"Конюшковская ул.";"Конюшковская ул.";"Конюшковская ул.";"Конюшковская улица";"1";"1";"102,109";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"11000";"01.11.1980 00:00:00";"Конюшковская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2356";"Костикова ул.";"Костикова ул.";"ул. Костикова";"Костикова ул.";"улица Костикова";"1";"1";"109";"";"3";"";"06.05.1965";"06.05.1965 00:00:00";"";"";"11280";"01.11.1980 00:00:00";"Костикова";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2366";"Котельнический 2-й пер.";"Котельнический 2-й пер.";"2-й Котельнический пер.";"Котельнический 2-й пер.";"2-й Котельнический переулок";"1";"1";"111";"";"3";"";"15.03.1954";"15.03.1954 00:00:00";"";"";"11370";"01.11.1980 00:00:00";"2-й Котельнический";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2400";"Красногвардейский 4-й пр.";"Красногвардейский 4-й пр.";"4-й Красногвардейский пр.";"Красногвардейский 4-й пр.";"4-й Красногвардейский проезд";"2";"0";"109";"";"3";"";"08.07.1955";"08.07.1955 00:00:00";"";"6764";"11730";"01.11.1980 00:00:00";"4-й Красногвардейский";"3";"0";"0";"прежнее наимено";"архивные данные";"пр.";"Запись не подписана";
"2408";"Краснодонская ул.";"Краснодонская ул.";"Краснодонская ул.";"Краснодонская ул.";"Краснодонская улица";"1";"1";"405,409,421";"";"3";"";"20.05.1964";"20.05.1964 00:00:00";"";"";"11790";"01.11.1980 00:00:00";"Краснодонская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2417";"Краснокурсантская пл.";"Краснокурсантская пл.";"Краснокурсантская пл.";"Краснокурсантская пл.";"Краснокурсантская площадь";"1";"1";"407";"";"3";"";"12.08.1924";"12.08.1924 00:00:00";"";"";"11840";"31.01.1995 00:00:00";"Краснокурсантская";"4";"1";"0";"действующее наи";"архивные данные";"пл.";"Запись не подписана";
"2427";"Краснопрудный М. туп.";"Краснопрудный М. туп.";"Малый Краснопрудный туп.";"Краснопрудный М. туп.";"Малый Краснопрудный тупик";"1";"1";"105";"";"3";"";"1938 г.";"01.01.1938 00:00:00";"";"";"11940";"01.11.1980 00:00:00";"Малый Краснопрудный";"7";"1";"0";"действующее наи";"архивные данные";"туп.";"Запись не подписана";
"2437";"Красносельский 5-й пер.";"Красносельский 5-й пер.";"5-й Красносельский пер.";"Красносельский 5-й пер.";"5-й Красносельский переулок";"1";"1";"105";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"12020";"01.11.1980 00:00:00";"5-й Красносельский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2455";"Крестовский 2-й пер.";"Крестовский 2-й пер.";"2-й Крестовский пер.";"Крестовский 2-й пер.";"2-й Крестовский переулок";"1";"1";"107";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"12180";"01.11.1980 00:00:00";"2-й Крестовский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"2465";"Кронштадтский бульв.";"Кронштадтский бульв.";"Кронштадтский бульв.";"Кронштадтский бульв.";"Кронштадтский бульвар";"1";"1";"913";"";"3";"№ 14/55";"18.04.1964";"18.04.1964 00:00:00";"";"";"12290";"01.11.1980 00:00:00";"Кронштадтский";"8";"1";"0";"действующее наи";"архивные данные";"бульв.";"Запись не подписана";
"2470";"Крутицкая ул.";"Крутицкая ул.";"Крутицкая ул.";"Крутицкая ул.";"Крутицкая улица";"1";"1";"111";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"12370";"01.11.1980 00:00:00";"Крутицкая";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"2486";"Крюковская пл.";"Крюковская пл.";"Зеленоград, Крюковская пл.";"Крюковская пл.";"Крюковская площадь";"1";"1";"1012";"";"3";"";"1985 г.";"01.01.1985 00:00:00";"2626";"";"12555";"31.01.1995 00:00:00";"Крюковская";"4";"1";"0";"действующее наи";"архивные данные";"пл.";"Запись не подписана";
"2497";"Кузнецовская ул.";"Кузнецовская ул.";"Кузнецовская ул.";"Кузнецовская ул.";"Кузнецовская улица";"1";"1";"301";"";"3";"";"07.06.1922";"07.06.1922 00:00:00";"";"";"12640";"01.11.1980 00:00:00";"Кузнецовская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
